summary_date,site,no_davg,name,obs_count,units 
2001-12-23,2996,0.006,Turlock-S Minaret Street,23,Parts Per Million ( ppm ) 
2001-12-23,2032,0.015,Visalia-N Church Street,23,Parts Per Million ( ppm ) 
2001-12-23,3173,0.008,Calexico-East,23,Parts Per Million ( ppm ) 
2001-12-23,3135,0.072,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2001-12-23,2199,0.004,Palm Springs-Fire Station,23,Parts Per Million ( ppm ) 
2001-12-23,2115,0.019,Chico-Manzanita Avenue,23,Parts Per Million ( ppm ) 
2001-12-23,2956,0.013,Roseville-N Sunrise Blvd,23,Parts Per Million ( ppm ) 
2001-12-23,3187,0.002,Folsom-Natoma Street,23,Parts Per Million ( ppm ) 
2001-12-23,2123,0.000,North Highlands-Blackfoot Way,23,Parts Per Million ( ppm ) 
2001-12-23,3223,0.002,Sacramento-3801 Airport Road,23,Parts Per Million ( ppm ) 
2001-12-23,2731,0.002,Sacramento-Del Paso Manor,23,Parts Per Million ( ppm ) 
2001-12-23,3011,0.004,Sacramento-T Street,23,Parts Per Million ( ppm ) 
2001-12-23,2958,0.003,Yuba City-Almond Street,23,Parts Per Million ( ppm ) 
2001-12-24,2948,0.008,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2001-12-24,3121,0.006,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2001-12-24,3658,0.027,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2001-12-24,2923,0.032,Barstow,23,Parts Per Million ( ppm ) 
2001-12-24,3500,0.008,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2001-12-24,3203,0.075,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2001-12-24,3185,0.098,Mexicali-ITM,23,Parts Per Million ( ppm ) 
2001-12-24,3141,0.048,Tijuana-La Mesa,20,Parts Per Million ( ppm ) 
2001-12-24,3178,0.013,Tijuana-Las Playas,22,Parts Per Million ( ppm ) 
2001-12-24,3489,0.005,Salinas-High School,23,Parts Per Million ( ppm ) 
2001-12-24,2329,0.001,Davenport,24,Parts Per Million ( ppm ) 
2001-12-24,3481,0.006,Incline Village-846 Tahoe Blvd,23,Parts Per Million ( ppm ) 
2001-12-24,2484,0.015,Azusa,23,Parts Per Million ( ppm ) 
2001-12-24,2492,0.076,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2001-12-24,2849,0.004,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2001-12-24,2045,0.160,Hawthorne,23,Parts Per Million ( ppm ) 
2001-12-24,3508,0.170,Los Angeles-651 Mott Street,23,Parts Per Million ( ppm ) 
2001-12-24,2899,0.164,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2001-12-24,2583,0.253,Lynwood,23,Parts Per Million ( ppm ) 
2001-12-24,2429,0.128,North Long Beach,23,Parts Per Million ( ppm ) 
2001-12-24,2160,0.065,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2001-12-24,2166,0.168,Pico Rivera,23,Parts Per Million ( ppm ) 
2001-12-24,2898,0.089,Pomona,23,Parts Per Million ( ppm ) 
2001-12-24,2420,0.020,Reseda,23,Parts Per Million ( ppm ) 
2001-12-24,3502,0.001,Santa Clarita,23,Parts Per Million ( ppm ) 
2001-12-24,2494,0.015,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2001-12-24,3509,0.105,Wilmington-1115 N.Mahar Avenue,23,Parts Per Million ( ppm ) 
2001-12-24,3674,0.063,Anaheim-Pampas Lane,24,Parts Per Million ( ppm ) 
2001-12-24,2937,0.044,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2001-12-24,2249,0.099,La Habra,23,Parts Per Million ( ppm ) 
2001-12-24,3168,0.002,Banning Airport,23,Parts Per Million ( ppm ) 
2001-12-24,2943,0.000,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
