summary_date,site,no2_davg,name,obs_count,units 
2004-01-17,2410,0.012,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2004-01-17,2105,0.012,Santa Rosa-5th Street,23,Parts Per Million ( ppm ) 
2004-01-17,3026,0.013,Clovis-N Villa Avenue,23,Parts Per Million ( ppm ) 
2004-01-17,3009,0.012,Fresno-1st Street,23,Parts Per Million ( ppm ) 
2004-01-17,2013,0.011,Fresno-Drummond Street,23,Parts Per Million ( ppm ) 
2004-01-17,2844,0.010,Fresno-Sierra Skypark #2,23,Parts Per Million ( ppm ) 
2004-01-17,2114,0.006,Parlier,23,Parts Per Million ( ppm ) 
2004-01-17,2941,0.012,Arvin-Bear Mountain Blvd,23,Parts Per Million ( ppm ) 
2004-01-17,3146,0.012,Bakersfield-5558 California Avenue,23,Parts Per Million ( ppm ) 
2004-01-17,2312,0.018,Edison,23,Parts Per Million ( ppm ) 
2004-01-17,2772,0.010,Oildale-3311 Manor Street,23,Parts Per Million ( ppm ) 
2004-01-17,2981,0.013,Shafter-Walker Street,23,Parts Per Million ( ppm ) 
2004-01-17,3129,0.007,Hanford-S Irwin Street,23,Parts Per Million ( ppm ) 
2004-01-17,3022,0.009,Merced-S Coffee Avenue,23,Parts Per Million ( ppm ) 
2004-01-17,2094,0.014,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2004-01-17,3159,0.010,Tracy-24371 Patterson Pass Road,23,Parts Per Million ( ppm ) 
2004-01-17,2833,0.012,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2004-01-17,2996,0.009,Turlock-S Minaret Street,23,Parts Per Million ( ppm ) 
2004-01-17,2032,0.011,Visalia-N Church Street,23,Parts Per Million ( ppm ) 
2004-01-17,3173,0.024,Calexico-East,23,Parts Per Million ( ppm ) 
2004-01-17,3135,0.024,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2004-01-17,2551,0.017,El Centro-9th Street,23,Parts Per Million ( ppm ) 
2004-01-17,2199,0.021,Palm Springs-Fire Station,23,Parts Per Million ( ppm ) 
2004-01-17,2115,0.011,Chico-Manzanita Avenue,23,Parts Per Million ( ppm ) 
2004-01-17,2956,0.018,Roseville-N Sunrise Blvd,23,Parts Per Million ( ppm ) 
2004-01-17,2977,0.007,Elk Grove-Bruceville Road,23,Parts Per Million ( ppm ) 
2004-01-17,3187,0.012,Folsom-Natoma Street,23,Parts Per Million ( ppm ) 
2004-01-17,2123,0.018,North Highlands-Blackfoot Way,23,Parts Per Million ( ppm ) 
2004-01-17,3223,0.017,Sacramento-3801 Airport Road,23,Parts Per Million ( ppm ) 
2004-01-17,3011,0.015,Sacramento-T Street,23,Parts Per Million ( ppm ) 
2004-01-17,2958,0.015,Yuba City-Almond Street,23,Parts Per Million ( ppm ) 
2004-01-17,2143,0.012,Davis-UCD Campus,23,Parts Per Million ( ppm ) 
2004-01-18,2948,0.019,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2004-01-18,3487,0.001,Echo Summit,23,Parts Per Million ( ppm ) 
2004-01-18,3121,0.015,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2004-01-18,3658,0.022,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
