summary_date,site,ozone_davg,name,obs_count,units 
2011-06-16,3683,0.035,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2011-06-16,2429,0.031,North Long Beach,22,Parts Per Million ( ppm ) 
2011-06-16,2160,0.029,Pasadena-S Wilson Avenue,22,Parts Per Million ( ppm ) 
2011-06-16,3693,0.025,Pico Rivera-4144 San Gabriel,22,Parts Per Million ( ppm ) 
2011-06-16,2898,0.027,Pomona,21,Parts Per Million ( ppm ) 
2011-06-16,2420,0.032,Reseda,23,Parts Per Million ( ppm ) 
2011-06-16,3502,0.029,Santa Clarita,23,Parts Per Million ( ppm ) 
2011-06-16,2494,0.031,West Los Angeles-VA Hospital,22,Parts Per Million ( ppm ) 
2011-06-16,3674,0.036,Anaheim-Pampas Lane,22,Parts Per Million ( ppm ) 
2011-06-16,2937,0.035,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2011-06-16,2249,0.031,La Habra,21,Parts Per Million ( ppm ) 
2011-06-16,3265,0.036,Mission Viejo-26081 Via Pera,22,Parts Per Million ( ppm ) 
2011-06-16,3168,0.042,Banning Airport,23,Parts Per Million ( ppm ) 
2011-06-16,2943,0.039,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2011-06-16,3702,0.037,Mira Loma Van Buren,23,Parts Per Million ( ppm ) 
2011-06-16,2525,0.038,Perris,23,Parts Per Million ( ppm ) 
2011-06-16,2596,0.042,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2011-06-16,3777,0.038,Winchester-33700 Borel Road             ,22,Parts Per Million ( ppm ) 
2011-06-16,2499,0.062,Crestline,23,Parts Per Million ( ppm ) 
2011-06-16,2266,0.025,Fontana-Arrow Highway,22,Parts Per Million ( ppm ) 
2011-06-16,2077,0.038,Redlands-Dearborn,23,Parts Per Million ( ppm ) 
2011-06-16,2221,0.028,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2011-06-16,2485,0.026,Upland,23,Parts Per Million ( ppm ) 
2011-06-16,2965,0.027,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2011-06-16,3694,0.039,Carrisa Plains School,23,Parts Per Million ( ppm ) 
2011-06-16,2321,0.031,Morro Bay,23,Parts Per Million ( ppm ) 
2011-06-16,3251,0.033,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2011-06-16,2955,0.032,Paso Robles-Santa Fe Avenue,23,Parts Per Million ( ppm ) 
2011-06-16,3495,0.042,Red Hills,23,Parts Per Million ( ppm ) 
2011-06-16,3688,0.033,San Luis Obispo-3220 South Higuera St,23,Parts Per Million ( ppm ) 
2011-06-16,3003,0.034,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2011-06-16,2008,0.035,El Capitan Beach,23,Parts Per Million ( ppm ) 
2011-06-16,2954,0.029,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2011-06-16,3153,0.034,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2011-06-16,3101,0.037,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2011-06-16,2992,0.037,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2011-06-16,2360,0.031,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2011-06-16,2957,0.029,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2011-06-16,3665,0.038,Santa Barbara-700 East Canon Perdido,23,Parts Per Million ( ppm ) 
2011-06-16,3486,0.031,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2011-06-16,2593,0.029,Santa Ynez-Airport Road,23,Parts Per Million ( ppm ) 
2011-06-16,3023,0.037,Vandenberg Air Force Base-STS Power,22,Parts Per Million ( ppm ) 
2011-06-16,2991,0.035,El Rio-Rio Mesa School #2,22,Parts Per Million ( ppm ) 
2011-06-16,3172,0.036,Ojai-Ojai Avenue,24,Parts Per Million ( ppm ) 
2011-06-16,3505,0.033,Piru-3301 Pacific Avenue,23,Parts Per Million ( ppm ) 
2011-06-16,2880,0.032,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
2011-06-16,2984,0.039,Thousand Oaks-Moorpark Road,24,Parts Per Million ( ppm ) 
2011-06-16,2460,0.036,Alpine-Victoria Drive,23,Parts Per Million ( ppm ) 
2011-06-16,3198,0.038,Camp Pendleton,23,Parts Per Million ( ppm ) 
2011-06-16,2589,0.032,Chula Vista,23,Parts Per Million ( ppm ) 
2011-06-16,2368,0.037,Del Mar-Mira Costa College,24,Parts Per Million ( ppm ) 
2011-06-16,2327,0.036,El Cajon-Redwood Avenue,22,Parts Per Million ( ppm ) 
2011-06-16,2263,0.038,Escondido-E Valley Parkway,23,Parts Per Million ( ppm ) 
2011-06-16,2933,0.030,Otay Mesa-Paseo International,23,Parts Per Million ( ppm ) 
2011-06-16,3690,0.034,San Diego-1110 Beardsley Street,23,Parts Per Million ( ppm ) 
2011-06-16,3766,0.035,San Diego-Kearny Villa Road,24,Parts Per Million ( ppm ) 
2011-06-16,2806,0.029,Hayward-La Mesa,23,Parts Per Million ( ppm ) 
2011-06-16,3490,0.027,Livermore-793 Rincon Avenue,23,Parts Per Million ( ppm ) 
2011-06-16,3247,0.024,Oakland-9925 International Blvd,23,Parts Per Million ( ppm ) 
2011-06-16,3742,0.020,Oakland-West,23,Parts Per Million ( ppm ) 
2011-06-16,2804,0.039,Bethel Island Road,23,Parts Per Million ( ppm ) 
2011-06-16,2831,0.029,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2011-06-16,3668,0.023,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2011-06-16,2622,0.022,San Rafael,23,Parts Per Million ( ppm ) 
2011-06-16,2655,0.027,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2011-06-16,2373,0.026,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2011-06-16,2125,0.022,Redwood City,22,Parts Per Million ( ppm ) 
2011-06-16,3770,0.022,Cupertino-22601 Voss Ave,22,Parts Per Million ( ppm ) 
2011-06-16,2320,0.025,Gilroy-9th Street,23,Parts Per Million ( ppm ) 
2011-06-16,2613,0.020,Los Gatos,23,Parts Per Million ( ppm ) 
2011-06-16,3661,0.026,San Jose-Jackson Street,20,Parts Per Million ( ppm ) 
2011-06-16,3140,0.028,San Martin-Murphy Avenue,23,Parts Per Million ( ppm ) 
2011-06-16,3415,0.031,Fairfield-Chadbourne Road,23,Parts Per Million ( ppm ) 
