summary_date,site,no_davg,name,obs_count,units 
2001-04-04,2249,0.005,La Habra,23,Parts Per Million ( ppm ) 
2001-04-04,3168,0.003,Banning Airport,23,Parts Per Million ( ppm ) 
2001-04-04,2943,0.000,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2001-04-04,2596,0.001,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2001-04-04,2266,0.002,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2001-04-04,2221,0.005,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2001-04-04,2485,0.001,Upland,23,Parts Per Million ( ppm ) 
2001-04-04,2965,0.005,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2001-04-04,2671,0.002,Grover City-Lesage Drive,23,Parts Per Million ( ppm ) 
2001-04-04,3251,0.004,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2001-04-04,2709,0.002,San Luis Obispo-Marsh Street,23,Parts Per Million ( ppm ) 
2001-04-04,3003,0.000,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2001-04-04,2008,0.002,El Capitan Beach,23,Parts Per Million ( ppm ) 
2001-04-04,2954,0.002,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2001-04-04,3153,0.001,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2001-04-04,3101,0.000,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2001-04-04,2992,0.000,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2001-04-04,2360,0.001,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2001-04-04,2957,0.000,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2001-04-04,3486,0.007,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2001-04-04,3023,0.000,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2001-04-04,2991,0.003,El Rio-Rio Mesa School #2,23,Parts Per Million ( ppm ) 
2001-04-04,3172,0.000,Ojai-Ojai Avenue,23,Parts Per Million ( ppm ) 
2001-04-04,2880,0.000,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
2001-04-04,2984,0.001,Thousand Oaks-Moorpark Road,23,Parts Per Million ( ppm ) 
2001-04-04,2756,0.000,Ventura County-W Casitas Pass Road,22,Parts Per Million ( ppm ) 
2001-04-04,2088,0.006,Ventura-Emma Wood State Beach,23,Parts Per Million ( ppm ) 
2001-04-04,2460,0.002,Alpine-Victoria Drive,22,Parts Per Million ( ppm ) 
2001-04-04,3198,0.001,Camp Pendleton,23,Parts Per Million ( ppm ) 
2001-04-04,2589,0.001,Chula Vista,23,Parts Per Million ( ppm ) 
2001-04-04,2327,0.001,El Cajon-Redwood Avenue,22,Parts Per Million ( ppm ) 
2001-04-04,2263,0.002,Escondido-E Valley Parkway,24,Parts Per Million ( ppm ) 
2001-04-04,2897,0.002,Oceanside-Mission Avenue,24,Parts Per Million ( ppm ) 
2001-04-04,2933,0.005,Otay Mesa-Paseo International,23,Parts Per Million ( ppm ) 
2001-04-04,2964,0.002,San Diego-12th Avenue,23,Parts Per Million ( ppm ) 
2001-04-04,2040,0.003,San Diego-Overland Avenue,22,Parts Per Million ( ppm ) 
2001-04-04,2293,0.018,Fremont-Chapel Way,23,Parts Per Million ( ppm ) 
2001-04-04,3490,0.016,Livermore-793 Rincon Avenue,22,Parts Per Million ( ppm ) 
2001-04-04,2804,0.002,Bethel Island Road,23,Parts Per Million ( ppm ) 
2001-04-04,2831,0.007,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2001-04-04,2102,0.004,Pittsburg-10th Street,23,Parts Per Million ( ppm ) 
2001-04-04,3207,0.007,San Pablo-El Portal,23,Parts Per Million ( ppm ) 
2001-04-04,2622,0.016,San Rafael,23,Parts Per Million ( ppm ) 
2001-04-04,2655,0.018,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2001-04-04,2373,0.013,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2001-04-04,2125,0.010,Redwood City,23,Parts Per Million ( ppm ) 
2001-04-04,2413,0.018,San Jose-4th Street,22,Parts Per Million ( ppm ) 
2001-04-04,2410,0.010,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2001-04-04,2105,0.010,Santa Rosa-5th Street,23,Parts Per Million ( ppm ) 
2001-04-04,3026,0.004,Clovis-N Villa Avenue,22,Parts Per Million ( ppm ) 
2001-04-04,3009,0.004,Fresno-1st Street,23,Parts Per Million ( ppm ) 
2001-04-04,2013,0.008,Fresno-Drummond Street,22,Parts Per Million ( ppm ) 
2001-04-04,2844,0.002,Fresno-Sierra Skypark #2,22,Parts Per Million ( ppm ) 
2001-04-04,2941,0.001,Arvin-Bear Mountain Blvd,23,Parts Per Million ( ppm ) 
2001-04-04,3146,0.002,Bakersfield-5558 California Avenue,22,Parts Per Million ( ppm ) 
2001-04-04,3145,0.001,Bakersfield-Golden State Highway,23,Parts Per Million ( ppm ) 
2001-04-04,2312,0.005,Edison,23,Parts Per Million ( ppm ) 
2001-04-04,2772,0.005,Oildale-3311 Manor Street,23,Parts Per Million ( ppm ) 
2001-04-04,2981,0.003,Shafter-Walker Street,23,Parts Per Million ( ppm ) 
2001-04-04,3129,0.001,Hanford-S Irwin Street,22,Parts Per Million ( ppm ) 
2001-04-04,3211,0.002,Madera-Pump Yard,22,Parts Per Million ( ppm ) 
2001-04-04,2094,0.009,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2001-04-04,3159,0.001,Tracy-24371 Patterson Pass Road,22,Parts Per Million ( ppm ) 
2001-04-04,2833,0.005,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2001-04-04,2996,0.006,Turlock-S Minaret Street,22,Parts Per Million ( ppm ) 
2001-04-04,2032,0.006,Visalia-N Church Street,23,Parts Per Million ( ppm ) 
2001-04-04,3173,0.001,Calexico-East,23,Parts Per Million ( ppm ) 
2001-04-04,3135,0.001,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2001-04-04,2199,0.000,Palm Springs-Fire Station,23,Parts Per Million ( ppm ) 
2001-04-04,2115,0.006,Chico-Manzanita Avenue,23,Parts Per Million ( ppm ) 
2001-04-04,2956,0.014,Roseville-N Sunrise Blvd,23,Parts Per Million ( ppm ) 
2001-04-04,2977,0.006,Elk Grove-Bruceville Road,23,Parts Per Million ( ppm ) 
2001-04-04,3187,0.002,Folsom-Natoma Street,23,Parts Per Million ( ppm ) 
2001-04-04,2123,0.006,North Highlands-Blackfoot Way,23,Parts Per Million ( ppm ) 
2001-04-04,3223,0.018,Sacramento-3801 Airport Road,20,Parts Per Million ( ppm ) 
2001-04-04,2731,0.002,Sacramento-Del Paso Manor,21,Parts Per Million ( ppm ) 
2001-04-04,2958,0.003,Yuba City-Almond Street,23,Parts Per Million ( ppm ) 
2001-04-04,2143,0.003,Davis-UCD Campus,23,Parts Per Million ( ppm ) 
2001-04-05,2948,0.004,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2001-04-05,3487,0.001,Echo Summit,23,Parts Per Million ( ppm ) 
2001-04-05,3121,0.001,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2001-04-05,2923,0.003,Barstow,23,Parts Per Million ( ppm ) 
2001-04-05,3215,0.001,Trona-Athol and Telegraph,24,Parts Per Million ( ppm ) 
2001-04-05,3500,0.002,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2001-04-05,3202,0.001,Mexicali-CBTIS,23,Parts Per Million ( ppm ) 
2001-04-05,3203,0.000,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2001-04-05,3201,0.003,Mexicali-UABC,21,Parts Per Million ( ppm ) 
2001-04-05,3183,0.001,Rosarito,23,Parts Per Million ( ppm ) 
2001-04-05,3255,0.005,Tecate-Paseo Morelos,22,Parts Per Million ( ppm ) 
2001-04-05,3138,0.003,Tijuana-ITT,22,Parts Per Million ( ppm ) 
2001-04-05,3141,0.007,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2001-04-05,3178,0.003,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2001-04-05,3489,0.002,Salinas-High School,24,Parts Per Million ( ppm ) 
2001-04-05,2329,0.001,Davenport,24,Parts Per Million ( ppm ) 
2001-04-05,3481,0.002,Incline Village-846 Tahoe Blvd,22,Parts Per Million ( ppm ) 
2001-04-05,2484,0.003,Azusa,23,Parts Per Million ( ppm ) 
2001-04-05,2492,0.018,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2001-04-05,2849,0.001,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2001-04-05,2045,0.014,Hawthorne,23,Parts Per Million ( ppm ) 
2001-04-05,3508,0.014,Los Angeles-651 Mott Street,22,Parts Per Million ( ppm ) 
2001-04-05,2899,0.013,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2001-04-05,2583,0.016,Lynwood,23,Parts Per Million ( ppm ) 
2001-04-05,2429,0.009,North Long Beach,23,Parts Per Million ( ppm ) 
2001-04-05,2160,0.006,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2001-04-05,2166,0.011,Pico Rivera,23,Parts Per Million ( ppm ) 
2001-04-05,2898,0.016,Pomona,23,Parts Per Million ( ppm ) 
2001-04-05,2420,0.015,Reseda,23,Parts Per Million ( ppm ) 
2001-04-05,2855,0.028,Santa Clarita-County Fire Station,23,Parts Per Million ( ppm ) 
2001-04-05,2494,0.020,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2001-04-05,2623,0.003,Anaheim-Harbor Blvd,23,Parts Per Million ( ppm ) 
2001-04-05,2937,0.003,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2001-04-05,2249,0.005,La Habra,23,Parts Per Million ( ppm ) 
2001-04-05,3168,0.003,Banning Airport,23,Parts Per Million ( ppm ) 
2001-04-05,2943,0.000,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2001-04-05,2596,0.001,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2001-04-05,2266,0.009,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2001-04-05,2221,0.003,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2001-04-05,2485,0.002,Upland,23,Parts Per Million ( ppm ) 
2001-04-05,2965,0.004,Atascadero-Lewis Avenue,21,Parts Per Million ( ppm ) 
2001-04-05,2671,0.004,Grover City-Lesage Drive,21,Parts Per Million ( ppm ) 
2001-04-05,3251,0.002,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2001-04-05,2709,0.007,San Luis Obispo-Marsh Street,23,Parts Per Million ( ppm ) 
2001-04-05,3003,0.000,Carpinteria-Gobernador Road,20,Parts Per Million ( ppm ) 
2001-04-05,2008,0.001,El Capitan Beach,23,Parts Per Million ( ppm ) 
2001-04-05,2954,0.002,Gaviota-GTC Site B,21,Parts Per Million ( ppm ) 
2001-04-05,3153,0.001,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2001-04-05,3101,0.000,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2001-04-05,2992,0.000,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2001-04-05,2360,0.002,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2001-04-05,2957,0.000,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2001-04-05,3486,0.004,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2001-04-05,3023,0.000,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2001-04-05,2991,0.003,El Rio-Rio Mesa School #2,23,Parts Per Million ( ppm ) 
2001-04-05,3172,0.000,Ojai-Ojai Avenue,22,Parts Per Million ( ppm ) 
2001-04-05,2880,0.010,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
2001-04-05,2984,0.005,Thousand Oaks-Moorpark Road,22,Parts Per Million ( ppm ) 
2001-04-05,2756,0.000,Ventura County-W Casitas Pass Road,22,Parts Per Million ( ppm ) 
2001-04-05,2088,0.006,Ventura-Emma Wood State Beach,23,Parts Per Million ( ppm ) 
2001-04-05,2460,0.003,Alpine-Victoria Drive,23,Parts Per Million ( ppm ) 
2001-04-05,3198,0.004,Camp Pendleton,23,Parts Per Million ( ppm ) 
2001-04-05,2589,0.003,Chula Vista,23,Parts Per Million ( ppm ) 
2001-04-05,2327,0.002,El Cajon-Redwood Avenue,23,Parts Per Million ( ppm ) 
2001-04-05,2263,0.002,Escondido-E Valley Parkway,22,Parts Per Million ( ppm ) 
2001-04-05,2897,0.007,Oceanside-Mission Avenue,22,Parts Per Million ( ppm ) 
2001-04-05,2933,0.008,Otay Mesa-Paseo International,23,Parts Per Million ( ppm ) 
2001-04-05,2964,0.004,San Diego-12th Avenue,22,Parts Per Million ( ppm ) 
