summary_date,site,co_davg,name,obs_count,units 
2012-08-25,2484,0.296,Azusa,22,Parts Per Million ( ppm ) 
2012-08-25,2492,0.152,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2012-08-25,3743,0.335,Compton-700 North Bullis Road,23,Parts Per Million ( ppm ) 
2012-08-25,2849,0.335,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2012-08-25,3683,0.248,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2012-08-25,2160,0.341,Pasadena-S Wilson Avenue,22,Parts Per Million ( ppm ) 
2012-08-25,3693,0.162,Pico Rivera-4144 San Gabriel,22,Parts Per Million ( ppm ) 
2012-08-25,2898,0.207,Pomona,22,Parts Per Million ( ppm ) 
2012-08-25,2420,0.074,Reseda,23,Parts Per Million ( ppm ) 
2012-08-25,3502,0.130,Santa Clarita,23,Parts Per Million ( ppm ) 
2012-08-25,2494,0.192,West Los Angeles-VA Hospital,22,Parts Per Million ( ppm ) 
2012-08-25,3674,0.229,Anaheim-Pampas Lane,22,Parts Per Million ( ppm ) 
2012-08-25,2937,0.011,Costa Mesa-Mesa Verde Drive,22,Parts Per Million ( ppm ) 
2012-08-25,2249,0.209,La Habra,22,Parts Per Million ( ppm ) 
2012-08-25,3265,0.216,Mission Viejo-26081 Via Pera,23,Parts Per Million ( ppm ) 
2012-08-25,2943,0.083,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2012-08-25,3702,0.108,Mira Loma Van Buren,23,Parts Per Million ( ppm ) 
2012-08-25,2333,0.297,Riverside-Magnolia,23,Parts Per Million ( ppm ) 
2012-08-25,2596,0.269,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2012-08-25,2266,0.123,Fontana-Arrow Highway,22,Parts Per Million ( ppm ) 
2012-08-25,2485,0.347,Upland,23,Parts Per Million ( ppm ) 
2012-08-25,3153,0.222,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2012-08-25,3101,0.104,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2012-08-25,2360,0.313,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2012-08-25,3023,0.170,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2012-08-25,2327,0.242,El Cajon-Redwood Avenue,22,Parts Per Million ( ppm ) 
2012-08-25,2263,0.230,Escondido-E Valley Parkway,23,Parts Per Million ( ppm ) 
