summary_date,site,no2_davg,name,obs_count,units 
2004-06-16,2937,0.005,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2004-06-16,2249,0.021,La Habra,23,Parts Per Million ( ppm ) 
2004-06-16,3168,0.010,Banning Airport,23,Parts Per Million ( ppm ) 
2004-06-16,2943,0.008,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2004-06-16,2596,0.005,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2004-06-16,2266,0.020,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2004-06-16,2221,0.025,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2004-06-16,2485,0.020,Upland,22,Parts Per Million ( ppm ) 
2004-06-16,2965,0.004,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2004-06-16,2671,0.002,Grover City-Lesage Drive,23,Parts Per Million ( ppm ) 
2004-06-16,2321,0.003,Morro Bay,23,Parts Per Million ( ppm ) 
2004-06-16,3251,0.003,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2004-06-16,2709,0.006,San Luis Obispo-Marsh Street,23,Parts Per Million ( ppm ) 
2004-06-16,3003,0.000,Carpinteria-Gobernador Road,21,Parts Per Million ( ppm ) 
2004-06-16,2008,0.004,El Capitan Beach,23,Parts Per Million ( ppm ) 
2004-06-16,2954,0.007,Gaviota-GTC Site B,22,Parts Per Million ( ppm ) 
2004-06-16,3153,0.006,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2004-06-16,2992,0.003,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2004-06-16,2360,0.004,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2004-06-16,2957,0.003,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2004-06-16,3665,0.006,Santa Barbara-700 East Canon Perdido,23,Parts Per Million ( ppm ) 
2004-06-16,3486,0.010,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2004-06-16,3023,0.002,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2004-06-16,2991,0.006,El Rio-Rio Mesa School #2,22,Parts Per Million ( ppm ) 
2004-06-16,3172,0.004,Ojai-Ojai Avenue,22,Parts Per Million ( ppm ) 
2004-06-16,2984,0.009,Thousand Oaks-Moorpark Road,23,Parts Per Million ( ppm ) 
2004-06-16,2088,0.005,Ventura-Emma Wood State Beach,23,Parts Per Million ( ppm ) 
2004-06-16,2460,0.010,Alpine-Victoria Drive,23,Parts Per Million ( ppm ) 
2004-06-16,3198,0.004,Camp Pendleton,24,Parts Per Million ( ppm ) 
2004-06-16,2589,0.005,Chula Vista,23,Parts Per Million ( ppm ) 
2004-06-16,2327,0.009,El Cajon-Redwood Avenue,23,Parts Per Million ( ppm ) 
2004-06-16,2263,0.013,Escondido-E Valley Parkway,24,Parts Per Million ( ppm ) 
2004-06-16,2933,0.014,Otay Mesa-Paseo International,23,Parts Per Million ( ppm ) 
2004-06-16,2964,0.006,San Diego-12th Avenue,23,Parts Per Million ( ppm ) 
2004-06-16,2040,0.010,San Diego-Overland Avenue,23,Parts Per Million ( ppm ) 
2004-06-16,2293,0.017,Fremont-Chapel Way,23,Parts Per Million ( ppm ) 
2004-06-16,3490,0.020,Livermore-793 Rincon Avenue,23,Parts Per Million ( ppm ) 
2004-06-16,2804,0.009,Bethel Island Road,23,Parts Per Million ( ppm ) 
2004-06-16,2831,0.012,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2004-06-16,2102,0.009,Pittsburg-10th Street,23,Parts Per Million ( ppm ) 
2004-06-16,3668,0.006,San Pablo-Rumrill Blvd,18,Parts Per Million ( ppm ) 
2004-06-16,2622,0.007,San Rafael,23,Parts Per Million ( ppm ) 
2004-06-16,2655,0.009,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2004-06-16,2373,0.012,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2004-06-16,3682,0.010,San Francisco-Hunters Point,23,Parts Per Million ( ppm ) 
2004-06-16,2125,0.015,Redwood City,23,Parts Per Million ( ppm ) 
2004-06-16,2410,0.006,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2004-06-16,2105,0.010,Santa Rosa-5th Street,23,Parts Per Million ( ppm ) 
2004-06-16,3026,0.015,Clovis-N Villa Avenue,22,Parts Per Million ( ppm ) 
2004-06-16,3009,0.020,Fresno-1st Street,23,Parts Per Million ( ppm ) 
2004-06-16,2013,0.019,Fresno-Drummond Street,22,Parts Per Million ( ppm ) 
2004-06-16,2844,0.012,Fresno-Sierra Skypark #2,22,Parts Per Million ( ppm ) 
2004-06-16,2114,0.012,Parlier,22,Parts Per Million ( ppm ) 
2004-06-16,2941,0.010,Arvin-Bear Mountain Blvd,23,Parts Per Million ( ppm ) 
2004-06-16,3146,0.020,Bakersfield-5558 California Avenue,23,Parts Per Million ( ppm ) 
2004-06-16,3145,0.015,Bakersfield-Golden State Highway,22,Parts Per Million ( ppm ) 
2004-06-16,2312,0.006,Edison,22,Parts Per Million ( ppm ) 
2004-06-16,2772,0.006,Oildale-3311 Manor Street,23,Parts Per Million ( ppm ) 
2004-06-16,2981,0.016,Shafter-Walker Street,23,Parts Per Million ( ppm ) 
2004-06-16,3129,0.013,Hanford-S Irwin Street,22,Parts Per Million ( ppm ) 
2004-06-16,3211,0.011,Madera-Pump Yard,22,Parts Per Million ( ppm ) 
2004-06-16,3022,0.012,Merced-S Coffee Avenue,22,Parts Per Million ( ppm ) 
2004-06-16,2094,0.018,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2004-06-16,2833,0.016,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2004-06-16,2996,0.016,Turlock-S Minaret Street,22,Parts Per Million ( ppm ) 
2004-06-16,2032,0.013,Visalia-N Church Street,23,Parts Per Million ( ppm ) 
2004-06-16,3173,0.006,Calexico-East,23,Parts Per Million ( ppm ) 
2004-06-16,3135,0.011,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2004-06-16,2551,0.012,El Centro-9th Street,23,Parts Per Million ( ppm ) 
2004-06-16,2199,0.007,Palm Springs-Fire Station,21,Parts Per Million ( ppm ) 
